sub_score,pos_pct
0,0.4444444444444444
59,0.0
154,0.0
157,0.0
220,1.0
254,1.0
271,0.0
277,0.0
288,0.0
294,0.0
347,1.0
368,0.0
451,1.0
456,1.0
460,0.0
474,1.0
508,1.0
580,0.0
588,0.0
619,0.0
634,0.0
643,0.0
663,1.0
668,1.0
675,1.0
696,0.0
707,1.0
859,1.0
901,0.0
932,0.0
939,0.0
940,1.0
963,1.0
968,0.0
983,1.0
988,0.0
994,0.0
997,1.0
1010,0.0
1014,1.0
1017,1.0
1042,0.0
1043,0.0
1049,1.0
1059,0.0
1075,0.0
1076,0.0
1092,0.0
1096,1.0
1148,0.0
1172,0.0
1195,1.0
1222,1.0
1251,0.0
1255,0.0
1278,1.0
1379,0.0
1380,0.0
1425,1.0
1462,1.0
1495,0.0
1505,0.5
1570,1.0
1577,0.5
1593,0.0
1621,1.0
1647,1.0
1650,0.0
1672,0.0
1690,0.0
1731,0.0
1745,1.0
1746,1.0
1759,1.0
1776,0.0
1799,0.0
1802,1.0
1816,1.0
1911,0.0
1914,1.0
1953,1.0
1960,0.0
1961,0.0
1986,0.0
2021,1.0
2025,0.0
2101,1.0
2106,1.0
2139,0.5
2146,1.0
2149,0.0
2152,1.0
2174,0.0
2221,0.0
2247,0.0
2259,0.0
2269,1.0
2292,1.0
2319,0.5
2335,1.0
2338,0.0
2339,1.0
2389,0.0
2427,0.0
2482,0.0
2500,1.0
2502,1.0
2530,0.0
2535,0.0
2588,0.0
2601,0.0
2683,0.0
2699,0.0
2711,0.5
2746,0.0
2748,0.0
2764,0.0
2820,1.0
2852,1.0
2865,0.0
2923,0.0
2949,1.0
2950,1.0
2957,1.0
2991,1.0
3001,1.0
3022,1.0
3029,0.0
3040,1.0
3048,0.0
3072,0.5
3115,0.0
3151,1.0
3183,0.0
3192,0.5
3201,1.0
3207,1.0
3211,1.0
3261,1.0
3284,0.0
3297,0.0
3299,0.0
3310,0.0
3320,0.0
3330,0.5
3334,0.0
3391,0.0
3434,1.0
3451,0.0
3464,0.5
3521,1.0
3530,1.0
3531,1.0
3552,0.0
3572,0.0
3640,0.0
3666,0.0
3675,0.0
3749,0.0
3771,0.0
3777,1.0
3808,1.0
3817,0.0
3821,0.3333333333333333
3839,1.0
3863,0.0
3935,0.0
3944,0.0
3962,1.0
3974,1.0
3983,1.0
3986,0.0
3989,0.0
3990,0.0
4034,0.0
4049,0.0
4051,0.0
4082,0.0
4149,0.0
4251,1.0
4253,1.0
4280,1.0
4363,0.0
4368,0.0
4380,0.0
4409,0.0
4426,0.0
4437,0.0
4458,0.0
4488,0.0
4527,1.0
4531,0.0
4646,0.0
4686,1.0
4725,0.0
4726,0.0
4782,0.5
4844,1.0
4853,1.0
4863,1.0
4936,1.0
4957,0.0
5053,0.0
5148,0.0
5161,1.0
5229,0.0
5279,0.0
5318,1.0
5321,1.0
5347,0.0
5367,0.0
5459,1.0
5484,1.0
5637,1.0
5640,1.0
5651,0.0
5702,1.0
5752,0.0
5760,1.0
5764,0.0
5776,0.0
5781,0.0
5858,0.0
5877,0.0
5904,1.0
5978,1.0
6066,0.0
6114,1.0
6164,0.0
6171,0.0
6349,0.0
6479,1.0
6568,0.0
6629,0.0
6631,0.0
6674,0.0
6700,1.0
6908,1.0
7036,0.0
7124,0.0
7141,1.0
7161,0.0
7178,1.0
7190,0.0
7332,0.0
7550,1.0
7552,1.0
7589,0.0
7590,1.0
7796,0.0
7871,0.0
7887,0.0
7983,0.0
8000,0.0
8022,0.0
8059,1.0
8096,1.0
8120,0.0
8176,0.0
8355,1.0
8441,0.0
8515,0.0
8647,1.0
8682,1.0
8871,1.0
8884,0.0
8892,1.0
8898,0.0
8967,0.0
9092,1.0
9167,0.0
9332,1.0
9345,1.0
9391,0.0
9490,0.0
9545,0.0
9755,1.0
9757,1.0
9871,0.0
9886,0.0
10454,0.0
10459,1.0
10537,0.25
10833,0.5
11018,0.0
11156,0.0
11438,1.0
11500,1.0
11578,0.0
11762,1.0
11792,0.0
11907,0.0
12010,0.0
12217,1.0
12234,0.0
12607,0.0
12638,0.0
12695,0.0
12936,0.0
13142,1.0
13417,0.0
13551,0.0
13736,1.0
13780,1.0
14067,1.0
14118,0.0
14595,0.0
14845,0.0
15180,1.0
15216,0.0
15289,0.0
15310,1.0
15666,0.0
15717,0.0
15781,0.0
15895,1.0
16204,0.0
16384,0.0
16471,0.0
16653,1.0
16679,0.0
16947,0.0
17482,0.0
17582,1.0
17623,0.0
17672,1.0
17736,1.0
17987,0.5
18232,0.0
18249,0.0
18417,1.0
18594,0.0
18735,1.0
18785,0.0
18883,0.0
18913,0.0
18916,0.0
19010,0.0
19091,0.0
19365,0.0
19694,0.0
19873,0.0
20174,0.0
20278,0.0
20426,1.0
20499,0.0
20652,0.0
20713,0.0
20757,0.0
20914,0.3333333333333333
20959,0.0
21095,0.0
21483,1.0
21832,0.0
21950,1.0
22063,0.0
22123,0.0
22202,0.0
22256,1.0
22571,1.0
22721,1.0
23350,0.0
23387,1.0
23388,0.0
23451,1.0
23518,0.0
23543,1.0
23582,0.5
23639,0.5
23898,1.0
24174,0.0
24280,1.0
24283,0.0
24380,0.0
24424,0.0
24523,0.0
24541,0.0
24577,0.0
24734,1.0
24818,1.0
24825,1.0
24836,0.0
24900,0.0
24995,0.0
25080,0.0
25147,1.0
25196,1.0
25300,1.0
25357,0.0
25368,0.0
25391,1.0
25408,0.0
25612,0.0
25637,1.0
25687,0.0
25799,1.0
25803,0.0
25921,0.5
25935,0.0
26033,0.0
26322,1.0
26337,0.0
26548,1.0
26578,0.0
26728,0.0
26769,0.0
26788,0.0
26790,0.0
26870,0.0
27028,1.0
27116,1.0
27144,0.0
27220,1.0
27263,0.0
27351,0.0
27425,0.0
27988,0.0
28036,0.0
28051,0.5
28067,1.0
28149,0.0
28152,1.0
28274,0.0
28315,0.0
28814,0.5
28838,0.0
28919,1.0
29023,0.3333333333333333
29047,1.0
29053,1.0
29183,0.0
29530,0.0
29647,1.0
29672,0.0
29685,0.0
29695,1.0
29818,0.0
29861,0.0
29891,0.0
29913,0.0
30046,0.5
30071,0.0
30093,0.0
30100,0.0
30163,1.0
30215,0.0
30245,0.5
30265,1.0
30337,0.0
30467,0.0
30540,0.0
30552,0.0
30619,0.0
30663,0.0
30730,0.0
30747,0.5
30757,0.0
30864,0.0
30915,0.0
30926,0.0
30959,0.0
31045,0.0
31063,0.0
31086,0.0
31096,0.0
31274,0.0
31324,0.0
31337,0.0
31359,0.4
31435,1.0
31587,1.0
31592,1.0
31878,1.0
31924,1.0
32068,0.0
32085,0.0
32227,0.0
32556,0.0
32704,1.0
32786,1.0
33002,0.0
33065,0.0
33185,0.5
33201,0.0
33236,1.0
33316,1.0
33462,1.0
33537,1.0
33622,0.0
33636,0.0
33738,0.0
33805,0.0
34005,0.0
34078,1.0
34110,0.0
34145,0.5
34186,0.0
34346,0.0
34425,0.0
34615,1.0
34749,0.0
34850,0.0
34947,0.0
35014,1.0
35040,0.0
35146,1.0
35496,0.0
35499,1.0
35605,0.5
35614,0.5
35617,1.0
35702,0.0
35870,0.0
35883,1.0
35988,0.0
36022,0.0
36090,0.0
36156,0.0
36231,0.0
36266,0.0
36476,0.0
36582,0.0
36648,0.0
36651,1.0
36875,0.0
36955,0.0
37190,0.5
37226,0.0
37252,1.0
37271,0.0
37284,0.0
37390,0.0
37391,1.0
37550,0.0
37695,0.0
37766,1.0
37844,0.0
37905,0.0
37996,1.0
38062,0.0
38233,0.4
38270,0.0
38318,1.0
38498,0.0
38521,0.0
38606,0.0
38644,0.0
38665,0.0
38765,1.0
39184,0.0
39197,1.0
39327,0.0
39462,1.0
39500,1.0
39537,0.0
39570,0.3333333333333333
39620,0.0
39697,1.0
39745,0.0
39823,1.0
39928,0.0
40099,1.0
40151,0.0
40261,0.0
40345,0.0
40360,0.5
40419,0.0
40984,0.0
41007,0.0
41036,0.0
41079,1.0
41235,0.0
41275,0.0
41339,0.0
41362,0.0
41497,0.0
41634,0.3333333333333333
41834,1.0
41917,0.0
42187,0.0
42540,0.0
42588,0.0
42629,0.0
42715,1.0
42720,1.0
42765,0.0
43236,1.0
43487,0.0
43644,0.5
43664,0.0
43713,0.0
43954,0.0
44146,0.6666666666666666
44620,0.0
44689,0.0
44811,0.0
44841,0.0
44891,0.0
45025,1.0
45268,0.0
45397,1.0
45423,0.5
45764,0.0
46130,0.0
46147,1.0
46235,0.0
46327,1.0
46396,0.0
46596,0.5
47030,0.0
47044,0.3333333333333333
47215,0.0
47395,0.0
47507,1.0
48023,0.0
48106,0.0
48260,0.0
49368,0.0
49534,0.5
49733,0.0
50065,1.0
50364,1.0
50494,1.0
50772,0.0
50997,0.0
51377,1.0
52430,1.0
52655,0.0
52811,0.0
53386,0.0
53520,1.0
53550,0.0
53758,0.0
53814,1.0
54071,0.5
54482,1.0
54754,0.0
54900,0.16666666666666666
55924,0.4444444444444444
56542,0.0
56804,1.0
57058,0.0
57235,0.0
57392,0.0
59818,1.0
61257,0.0
63170,1.0
67995,0.5
68640,1.0
68713,1.0
70606,0.0
72788,0.0
81599,1.0
94398,0.0
